Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
Construction of Pipeline Faro Raw Water Main Rpmt,WILDSTONE CONSTRUCTION &,$0.00,2011-08-15,C00010797,1,,,Community Services,Construction,Price Driven,Faro,P,2011-12
Rental of a 320 Excavator Hydro axe mulcher,CLIFFORD MCLEOD O/A,"$50,000.00",2011-10-12,C00010852,Original,,915,Highways & Public Works,Equipment Rental,Price Driven,Carmacks,P,2011-12
Rental of a 320 Excavator Hydro axe mulcher,CLIFFORD MCLEOD O/A,$0.00,2011-10-12,C00010852,1,,915,Highways & Public Works,Equipment Rental,Price Driven,Carmacks,P,2011-12
Rental of a Tridem End Dump to Load Cold Mix,ARCTIC BACKHOE SERVICES LTD,"$10,000.00",2011-10-03,C00010853,Original,,540,Highways & Public Works,Equipment Rental,Price Driven,Other,P,2011-12
Whitespruce Mills site clean-up,JAMES MAGUN O/A,"$15,770.00",2011-10-12,C00010854,Original,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,I,2011-12
Design & Content Updates to Corporate Website,TRACY MAKAREWICH O/A,"$5,000.00",2011-10-11,C00010694,Original,,,Tourism And Culture,Service,Value Driven,Whitehorse,D,2011-12
Replacement of Septic Siphon Tank - Kluane Nat His,CHARLES EIKLAND SR O/A,"$10,560.00",2011-09-26,C00010695,Original,,,Highways & Public Works,Service,Price Driven,Burwash Landing,I,2011-12
Dance Choreography for the MAD Program,DALE COOPER,"$6,682.00",2011-10-01,C00010696,Original,,,Education,Service,Value Driven,Whitehorse,D,2011-12
Topographic Survey - Quarries Km 194.4 & Km 216.9,42256 YUKON INC O/A,"$9,967.45",2011-09-26,C00010697,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2011-12
Health and Safety Rep Training,NORTHERN SAFETY NETWORK YUKON,"$5,000.00",2011-08-01,C00010742,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2011-12
Provide Support for the Claims Processing System,DELTAWARE SYSTEMS INC,"$129,295.00",2011-04-01,C00010743,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Electrical Distribution Phase 1 Grizzly Valley Sub,YUKON ELECTRICAL COMPANY,"$251,005.00",2011-09-30,C00010744,Original,,,Community Services,Service,Price Driven,Other,D,2011-12
"Rental of an Excavator, Loader & Two Belly Dumps",COATES SERVICES YUKON LTD,"$5,000.00",2011-09-28,C00010745,Original,,512,Highways & Public Works,Equipment Rental,Value Driven,Whitehorse,P,2011-12
Brushcutting Dempster Highway Ogilvie Section,TOBIAS & MONICA GRAF O/A,"$35,000.00",2011-10-05,C00010798,Original,,616,Highways & Public Works,Equipment Rental,Price Driven,Dawson City,P,2011-12
Equipment Rental Ditching in Mayo,EWING TRANSPORT LTD,"$45,000.00",2011-09-12,C00010799,Original,,615,Highways & Public Works,Equipment Rental,Price Driven,Mayo,P,2011-12
Vandelay Systems Forestry Database Consulting,38593 YUKON INC O/A,"$25,000.00",2011-10-12,C00010800,Original,,SOA-FMIMS-09/02/02,"Energy, Mines & Resources",Service,Price Driven,Whitehorse,P,2011-12
Ear Lake Burnt House Clean Up,14899 YUKON INC O/A,"$9,200.00",2011-10-12,C00010855,Original,,,"Energy, Mines & Resources",Service,Price Driven,Whitehorse,I,2011-12
Ear Lake Burnt House Clean Up,14899 YUKON INC O/A,"$1,500.00",2011-10-12,C00010855,1,,,"Energy, Mines & Resources",Service,Price Driven,Whitehorse,I,2011-12
Training for CPR for Health Care Providers,YUKON COLLEGE,"$1,900.00",2011-10-21,C00010856,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Business Area Analysis Workshops,ACS GOVERMNENT SERVICES INC,"$35,000.00",2011-11-15,C00010857,Original,,,Highways & Public Works,General Consulting,Price Driven,Whitehorse,D,2011-12
Business Area Analysis Workshops,ACS GOVERMNENT SERVICES INC,$0.00,2011-11-15,C00010857,1,,,Highways & Public Works,General Consulting,Price Driven,Whitehorse,D,2011-12
Topographic Survey - Quarries Km 194.4 & Km 216.9,42256 YUKON INC O/A,"$3,527.77",2011-09-26,C00010697,1,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2011-12
LaMPSS: Financial Interface- Planning & Design(Phase 1),39396 YUKON INC O/A THE,"$40,000.00",2011-09-26,C00010698,Original,,,Education,Service,Value Driven,Whitehorse,D,2011-12
Dawson Infrastructure Heating Project,JON T SCHMIDT O/A JON T.,"$17,000.00",2011-08-31,C00010699,Original,,,Highways & Public Works,General Consulting,Value Driven,Dawson City,D,2011-12
Old Crow Water Supply Upgrades Material Delivery,AIR NORTH CHARTER & TRAINING,"$36,464.00",2011-09-27,C00010700,Original,,,Community Services,Service,Price Driven,Whitehorse,D,2011-12
Specialized Approved Home Services,SHEILA BELL,"$29,894.63",2011-10-01,C00010746,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Specialized Approved Home Services,SHEILA BELL,"$32,295.62",2011-10-01,C00010746,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Shelving Installation for WPL at Kwanlin Dun Cultural Centre,R BURY MEDIA & SUPPLY,"$10,500.00",2011-10-03,C00010748,Original,,,Community Services,Service,Value Driven,Whitehorse,I,2011-12
Vandelay Systems Forestry Database Consulting,38593 YUKON INC O/A,$0.00,2011-10-12,C00010800,1,,SOA-FMIMS-09/02/02,"Energy, Mines & Resources",Service,Price Driven,Whitehorse,P,2011-12
Repair Work to Carved Mask Yukon Perm Art Collectn,KATHRYN E HALL,$200.00,2011-10-14,C00010801,Original,,,Tourism And Culture,Service,Value Driven,Other-Non Yukon,D,2011-12
Claims Inspections Nahanni Range Road,HELI DYNAMICS LTD,"$1,160.00",2011-09-05,C00010802,Original,,,"Energy, Mines & Resources",Aircraft Charter,Price Driven,Other,D,2011-12
Property Assessment and Taxation Services Yukon (PATSY),38593 YUKON INC O/A,"$30,000.00",2011-11-25,C00011338,Original,,CS-PATSY-11-14,Community Services,Service,Value Driven,Whitehorse,P,2011-12
Property Assessment and Taxation Services Yukon (PATSY),38593 YUKON INC O/A,"$15,000.00",2011-11-25,C00011338,1,,CS-PATSY-11-14,Community Services,Service,Value Driven,Whitehorse,P,2011-12
Water License Amendment,ASSOCIATED ENGINEERING,"$7,778.16",2011-12-02,C00011339,Original,,,Community Services,Service,Price Driven,Whitehorse,D,2011-12
Fabricate Replacement Sprinkler Pipe Sections,TOTAL FIRE PROTECTION SERVICES,"$3,018.12",2011-12-02,C00011340,Original,,,Highways & Public Works,Construction,Price Driven,Dawson City,D,2011-12
Reception Catering for the Commissioner's Levee,LAN BICH TANG O/A,"$4,500.00",2012-01-01,C00011495,Original,,,Executive Council Office,Service,Value Driven,Whitehorse,D,2011-12
Repairs and repaint MacDonald Lodge,CHRISTINE CAHOON O/A,"$4,000.00",2012-01-02,C00011496,Original,,,Highways & Public Works,Service,Price Driven,Dawson City,D,2011-12
Tender & Construction Administration Fire Alarm Sy,STANTEC ARCHITECTURE LTD,"$9,000.00",2011-12-20,C00011497,Original,,,Highways & Public Works,General Consulting,Value Driven,Haines Junction,D,2011-12
Snow Removal Services at Deep Creek Solid Waste Fc,REAL STOKER & AMY ILES O/A,"$5,000.00",2011-12-08,C00011378,Original,,,Community Services,Service,Value Driven,Other,D,2011-12
Snow Removal Services at Deep Creek Solid Waste Fc,REAL STOKER & AMY ILES O/A,"$2,750.00",2011-12-08,C00011378,1,,,Community Services,Service,Value Driven,Other,D,2011-12
Workshops for Artists in the School Program,SIMON D'AMOURS,"$3,450.00",2011-11-16,C00011438,Original,,,Education,Service,Value Driven,Whitehorse,D,2011-12
Brushing and Clearing Silver Trail Mayo,WILFS CONTRACTING LTD,"$11,000.00",2011-12-15,C00011439,Original,,611,Highways & Public Works,Equipment Rental,Value Driven,Mayo,P,2011-12
Brushing and Clearing Silver Trail Mayo,WILFS CONTRACTING LTD,"-$3,000.00",2011-12-15,C00011439,1,,611,Highways & Public Works,Equipment Rental,Value Driven,Mayo,P,2011-12
Visiting Physician Services to Faro and Ross River,CINDY BREITKREUTZ PROF CORP,"$7,958.34",2012-02-08,C00011440,Original,,,Health & Social Services,Service,Value Driven,Faro,D,2011-12
2011 -  2012 Budget Advertising,DIANNE VILLESECHE,"$24,000.00",2011-04-01,C00011441,Original,,,Finance,Service,Value Driven,Whitehorse,D,2011-12
Transportation for Students in Mechanics Class,41794 YUKON INC O/A,"$5,000.00",2011-11-01,C00011453,Original,,,Education,Service,Price Driven,Whitehorse,D,2011-12
Consulting Services on the FH Collins Geothermal,AECOM CANADA LTD,"$9,900.00",2011-10-01,C00011454,Original,,,Education,Service,Value Driven,Whitehorse,D,2011-12
Supply Bins to Various Yukon Sites & Transport Wst,TLE NAX T AWEI INC O/A,"$18,500.00",2012-01-03,C00011455,Original,,,Community Services,Service,Value Driven,Other,I,2011-12
Supply Bins to Various Yukon Sites & Transport Wst,TLE NAX T AWEI INC O/A,"$22,000.00",2012-01-03,C00011455,1,,,Community Services,Service,Value Driven,Other,I,2011-12
Custodial Services - Robert Service School,CHIEF ISAAC INCORPORATED,"$4,208.75",2011-11-09,C00011498,Original,,,Highways & Public Works,Service,Value Driven,Dawson City,D,2011-12
Medical Care to Patients at the Thompson Centre,TIRSCHMANN & RHEIN PROF CORP,"$85,812.26",2011-10-01,C00011500,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Provide Site Maintenance At Ross River Solid Waste,11808 YUKON INC,"$8,000.00",2011-11-01,C00011379,Original,,,Community Services,Service,Value Driven,Ross River,D,2011-12
Provide Site Maintenance At Ross River Solid Waste,11808 YUKON INC,"$3,810.00",2011-11-01,C00011379,1,,,Community Services,Service,Value Driven,Ross River,D,2011-12
Construction Services,YUKON ENGINEERING SERVICES INC,"$9,750.00",2011-09-01,C00011380,Original,,,Community Services,Service,Price Driven,Whitehorse,D,2011-12
Equipment Mental for Mayo Flood,WILFS CONTRACTING LTD,"$10,000.00",2011-12-01,C00011442,Original,,611,Community Services,Equipment Rental,Value Driven,Mayo,P,2011-12
Equipment Mental for Mayo Flood,WILFS CONTRACTING LTD,"$24,786.50",2011-12-01,C00011442,1,,611,Community Services,Equipment Rental,Value Driven,Mayo,P,2011-12
Brush Clearing Silver Trail Mayo,JOHN F SMITH O/A,"$24,000.00",2011-12-15,C00011444,Original,,612,Highways & Public Works,Equipment Rental,Value Driven,Mayo,D,2011-12
Brush Clearing Silver Trail Mayo,JOHN F SMITH O/A,"$13,000.00",2011-12-15,C00011444,1,,612,Highways & Public Works,Equipment Rental,Value Driven,Mayo,D,2011-12
Teslin Road Upgrades Engineering Consulting Serv,AECOM CANADA LTD,"$161,354.00",2011-12-14,C00011445,Original,,,Community Services,Engineering/Architectural,Value Driven,Teslin,P,2011-12
supply bins to requested sites and transport waste,TLE NAX T AWEI INC O/A,"$19,500.00",2012-01-03,C00011456,Original,,,Community Services,Service,Value Driven,Other,I,2011-12
supply bins to requested sites and transport waste,TLE NAX T AWEI INC O/A,"$23,500.00",2012-01-03,C00011456,1,,,Community Services,Service,Value Driven,Other,I,2011-12
Kwanlin Dun Cultural Centre Lease Space,WHITEHORSE PROPERTY MANAGEMENT,"$6,975,904.75",2011-11-09,C00011457,Original,,,Highways & Public Works,Real Property Lease,Price Driven,Whitehorse,D,2011-12
Fairness Monitor for RFP Evaluation - Mount Nansen,HANK MOORLAG O/A,"$2,200.00",2012-01-23,C00011501,Original,,,"Energy, Mines & Resources",General Consulting,Value Driven,Whitehorse,D,2011-12
Physician Services for the Referred Clinic in Whse,SHARON R LAZEO PROFESSIONAL,"$39,312.00",2012-01-01,C00011502,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Environmental Services for YESAA Application,P MATHEUS & C OMTZIGT O/A,"$9,300.00",2011-12-21,C00011503,Original,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2011-12
Development of Draft Introduction & Context SLRWA,BRIAN PELCHAT,"$9,000.00",2011-12-21,C00011504,Original,,,Environment,General Consulting,Price Driven,Whitehorse,D,2011-12
Interior Renovations to Hidden Valley School,KURT KOSTELNIK O/A,"$7,000.00",2011-12-02,C00011382,Original,,,Highways & Public Works,Construction,Price Driven,Whitehorse,D,2011-12
Provide Cisco Certified Network Associate Training,POLAR GROUP ICT INC O/A,"$3,190.00",2011-11-28,C00011383,Original,,,Community Services,Service,Value Driven,Whitehorse,D,2011-12
Computer based instructional systems,ASSESSMENT & INTELLIGENCE,"$6,587.00",2011-12-22,C00011384,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Photography of Artwork Commission in Progress,PROVENCAL PHOTOGRAPHY,"$1,000.00",2011-10-04,C00011385,Original,,,Tourism And Culture,Service,Value Driven,Other-Non Yukon,D,2011-12
Perform Lab Work-Samples from Landfill Monit Wells,CARO ANALYTICAL SERVICES,"$17,159.00",2011-10-01,C00011386,Original,,,Community Services,Service,Value Driven,Other,D,2011-12
Rentals for Mayo Flood,JOHN F SMITH O/A,"$10,000.00",2011-12-01,C00011447,Original,,612,Community Services,Equipment Rental,Value Driven,Mayo,P,2011-12
Refurbishment Services on Misc Micrographic Equipm,EASTMAN KODAK CO,"$5,115.00",2011-12-01,C00011448,Original,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2011-12
Project Budget Management System Maintenance,38593 YUKON INC O/A,"$7,115.00",2011-12-01,C00011449,Original,,AAM-11-005-Vandelay,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,P,2011-12
CRIS Replacement Project,39396 YUKON INC O/A THE,"$68,445.00",2012-01-01,C00011458,Original,,JUS-JIEN-11-01,Justice,Service,Value Driven,Whitehorse,P,2011-12
Produce three interpretive sign for Montague Roadhouse,15889 YUKON INC,"$2,475.00",2011-12-16,C00011459,Original,,,Tourism And Culture,Service,Value Driven,Whitehorse,D,2011-12
Consultations Re Social Work Hiring Qualifications,LESLIE KNIGHT,"$13,000.00",2011-12-21,C00011506,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Pick-up & Dispose Garbage & Waste JV Clark School,LANSING ENTERPRISES LTD,"$4,000.00",2011-10-01,C00011508,Original,,,Education,Service,Price Driven,Whitehorse,D,2011-12
Chattel Move,PACIFIC NORTHWEST MOVING,"$25,000.00",2012-01-02,C00011509,Original,,,Public Service Commission,Service,Price Driven,Whitehorse,I,2011-12
Rehab of well services,AQUATECH SUPPLIES,"$23,902.76",2012-01-04,C00011510,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2011-12
Conodont processing,PALEO TECHNIC LAB SERVICES,"$5,000.00",2011-12-01,C00011387,Original,,,"Energy, Mines & Resources",Service,Value Driven,Other-Non Yukon,D,2011-12
Delivery of Traditional Knowledge Workshop,RANDALL TETLICHI,"$5,400.00",2011-12-06,C00011388,Original,,,Public Service Commission,Service,Value Driven,Whitehorse,D,2011-12
PSC Team Building Event,PLEXUS INSTITUTE,"$18,000.00",2012-01-02,C00011389,Original,,,Public Service Commission,Service,Value Driven,Whitehorse,D,2011-12
Critical Thinking Workshops,FOUNDATION FOR CRITICAL,"$19,500.00",2012-02-01,C00011390,Original,,,Public Service Commission,Service,Value Driven,Whitehorse,D,2011-12
Project Budget Management System Upgrades,38593 YUKON INC O/A,"$40,000.00",2012-01-01,C00011450,Original,,AAM-11-005-Vandelay,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,P,2011-12
Carmacks Sewage Laterals Water Licence Application,P MATHEUS & C OMTZIGT O/A,"$4,000.00",2011-12-09,C00011451,Original,,,Community Services,General Consulting,Value Driven,Whitehorse,D,2011-12
Transportation service for Teen Parent Students,41794 YUKON INC O/A,"$5,000.00",2011-11-01,C00011452,Original,,,Education,Service,Price Driven,Whitehorse,D,2011-12
Evaluation of GradCorps and FNTC Program,33753 YUKON INC O/A,"$24,675.00",2011-12-16,C00011460,Original,,,Public Service Commission,Service,Value Driven,Whitehorse,D,2011-12
Reimbursement for Per Diems,SUSAN SOURIAL,$489.46,2011-11-29,C00011461,Original,,,Legislative Assembly,Service,Value Driven,Whitehorse,D,2011-12
Repair of Entrance Way Flooring Whse Elementary Sc,ROB BALLA O/A,"$3,000.00",2011-12-19,C00011462,Original,,,Highways & Public Works,Construction,Price Driven,Whitehorse,D,2011-12
Evaluate YG Substance Abuse Program,33753 YUKON INC O/A,"$19,950.00",2011-12-15,C00011463,Original,,,Public Service Commission,Service,Value Driven,Whitehorse,D,2011-12
Rehab of well services,AQUATECH SUPPLIES,"-$6,654.92",2012-01-04,C00011510,1,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2011-12
Satellite Photogrammetric Work Carcross Tagish Map,STEWART WEIR & CO LTD,"$3,200.00",2011-12-19,C00011511,Original,,,Highways & Public Works,Service,Value Driven,Other-Non Yukon,D,2011-12
Archibus Development System,38593 YUKON INC O/A,"$10,000.00",2011-12-21,C00011512,Original,,,Highways & Public Works,General Consulting,Value Driven,Whitehorse,D,2011-12
Rental of End Dump for Snow Removal Central Wkshp,14899 YUKON INC O/A,"$2,000.00",2011-12-22,C00011513,Original,,620,Highways & Public Works,Equipment Rental,Price Driven,Whitehorse,P,2011-12
Hope Filled Engagement Model,GRAY POEHNELL,"$12,000.00",2012-03-01,C00011391,Original,,,Public Service Commission,Service,Value Driven,Whitehorse,D,2011-12
To provide air charter services,ALKAN AIR LTD,"$6,500.00",2011-12-12,C00011392,Original,,110,Community Services,Chattel Lease,Price Driven,Whitehorse,P,2011-12
Engineering Consulting Services YG Network Infrast,BRIAN MCWATTERS O/A,"$24,000.00",2011-12-09,C00011393,Original,,,Highways & Public Works,General Consulting,Value Driven,Whitehorse,D,2011-12
Mayo WTP Conceptual Design -Project Coordination,AECOM CANADA LTD,"$12,947.51",2011-08-13,C00011394,Original,,,Community Services,Service,Value Driven,Whitehorse,D,2011-12
Overhead Door Repairs - Various Buildings,BUDS INDUSTRIAL,"$6,000.00",2011-11-28,C00011309,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2011-12
Overhead Door Repairs - Various Buildings,BUDS INDUSTRIAL,"$5,900.00",2011-11-28,C00011309,1,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2011-12
PROJECT EXECUTION PLAN FOR THE FARO MINE,DELOITTE & TOUCHE LLP,"$90,700.00",2011-12-01,C00011310,Original,,AAM-11-005-Deloitte,"Energy, Mines & Resources",General Consulting,Value Driven,Whitehorse,P,2011-12
Install a Power Line Service for Residential Use,YUKON ENERGY CORPORATION,"$7,200.00",2011-11-28,C00011313,Original,,,Community Services,Service,Value Driven,Other,D,2011-12
Vaccum Insulation Panel Moveable Greenhouse Window,GARRET M GILLESPIE O/A,"$15,000.00",2011-12-05,C00011464,Original,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,D,2011-12
Vaccum Insulation Panel Moveable Greenhouse Window,GARRET M GILLESPIE O/A,$0.00,2011-12-05,C00011464,1,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,D,2011-12
Provide Sound and Lighting Equipment Westmark Whse,UNITECH SOUND & LIGHTING INC,"$12,500.00",2011-09-09,C00011465,Original,,,Legislative Assembly,Service,Value Driven,Whitehorse,D,2011-12
To Install a Solar Based Electrical System,37086 YUKON INC O/A,"$5,866.14",2011-12-15,C00011466,Original,,,Community Services,Service,Value Driven,Other,D,2011-12
Collection of Water Samples for Bacteriological Ts,GRANT LUNDY O/A,"$8,350.00",2012-01-01,C00011467,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2011-12
Review and Audit of HR Positions / Written Report,PAUL R VALENTINE,"$24,900.00",2011-11-04,C00011341,Original,,,Public Service Commission,Service,Value Driven,Whitehorse,D,2011-12
Review and Audit of HR Positions / Written Report,PAUL R VALENTINE,$0.00,2011-11-04,C00011341,1,,,Public Service Commission,Service,Value Driven,Whitehorse,D,2011-12
Artwork Commission for Art & Craft Display HJ VIC,EUGENE ALFRED,"$5,500.00",2011-12-06,C00011342,Original,,,Tourism And Culture,Service,Value Driven,Whitehorse,D,2011-12
Plan and host a Social Media Workshop for Industry,OUTSIDE THE CUBE MANAGEMENT,"$4,500.00",2011-12-02,C00011343,Original,,Channel Marketing,Tourism And Culture,Service,Value Driven,Whitehorse,P,2011-12
Collection of Water Samples - Bacteriological Test,GRANT LUNDY O/A,"$8,350.00",2011-12-01,C00011395,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2011-12
2012 Art Adventures Studio Guide Design,PATRICIA HALLADAY O/A,"$4,000.00",2011-12-16,C00011396,Original,,,Tourism And Culture,Service,Value Driven,Whitehorse,D,2011-12
Transport Domestic Waste Various Sites to Whse,TLE NAX T AWEI INC O/A,"$22,000.00",2011-12-01,C00011397,Original,,,Community Services,Service,Value Driven,Whitehorse,D,2011-12
provide vocational assessments as required,VOCATIONAL REHABILITATION,"$9,500.00",2011-12-08,C00011398,Original,,,Public Service Commission,Service,Value Driven,Whitehorse,D,2011-12
Install a Power Line Service for Residential Use,YUKON ENERGY CORPORATION,$568.12,2011-11-28,C00011313,1,,,Community Services,Service,Value Driven,Other,D,2011-12
Install New Service Mast on Zamboni Shed,ARCRITE NORTHERN LTD,"$8,000.00",2011-11-25,C00011314,Original,,,Highways & Public Works,Construction,Price Driven,Ross River,D,2011-12
Engineering Service,QUEST ENGINEERING GROUP INC,"$3,700.00",2011-12-05,C00011315,Original,,,Highways & Public Works,Engineering/Architectural,Value Driven,Whitehorse,D,2011-12
"Chattel Move, Ottawa to Whitehorse",MATCO TRANSPORTATION SYSTEMS,"$18,000.00",2011-12-21,C00011316,Original,,,Public Service Commission,Service,Price Driven,Whitehorse,I,2011-12
To Install Solar Electrical System Residental Use,EVA M WIECKOWSKI,"$2,565.50",2011-12-15,C00011468,Original,,,Community Services,Service,Value Driven,Other,D,2011-12
Consultant services for fuel oil assessment,STANTEC ARCHITECTURE LTD,"$7,500.00",2011-12-14,C00011469,Original,,,Highways & Public Works,General Consulting,Value Driven,Faro,D,2011-12
Yukon Land Development Assessment & Planning Study,O2PLANNING AND DESIGN INC,"$199,227.00",2011-10-17,C00011470,Original,,,Community Services,General Consulting,Value Driven,Whitehorse,P,2011-12
Yukon Land Development Assessment & Planning Study,O2PLANNING AND DESIGN INC,"$24,450.00",2011-10-17,C00011470,1,,,Community Services,General Consulting,Value Driven,Whitehorse,P,2011-12
HR Planning Change Management Workshop & Training,ANGELA WALKLEY O/A,"$4,800.00",2011-12-01,C00011344,Original,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2011-12
Quarry improvements km 674.5 Klondike Hwy,GAMMIE TRUCKING,"$10,000.00",2011-12-05,C00011345,Original,,603,Highways & Public Works,Equipment Rental,Price Driven,Dawson City,P,2011-12
Maintenance for Medical Equipment Com Nursing,YUKON HOSPITAL CORPORATION,"$34,300.00",2011-12-01,C00011347,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Speaker Series Design & Deliver Presentations,SCHECHINAH INC,"$19,000.00",2012-01-02,C00011399,Original,,,Public Service Commission,Service,Value Driven,Whitehorse,D,2011-12
Carpet Matting for Porter Creek School,CANADA FLOORING,"$5,717.24",2011-12-12,C00011400,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2011-12
2010/2011 Yukon Marketing Conversion Study,MIKE & DONNA LARSEN O/A,"$30,000.00",2011-12-09,C00011402,Original,,,Tourism And Culture,Service,Value Driven,Other,I,2011-12
2010/2011 Yukon Marketing Conversion Study,MIKE & DONNA LARSEN O/A,"$7,283.00",2011-12-09,C00011402,1,,,Tourism And Culture,Service,Value Driven,Other,I,2011-12
Vegetation Control on Silver Trail Elsa to Keno,TOBIAS & MONICA GRAF O/A,"$7,500.00",2011-12-09,C00011403,Original,,SR11-616,Highways & Public Works,Equipment Rental,Price Driven,Mayo,P,2011-12
to provide lift device inspections,KEN VINGE,"$24,500.00",2011-12-05,C00011404,Original,,,Community Services,Service,Value Driven,Whitehorse,D,2011-12
Transitional Orientation Training,JUG ISLAND CONSULTING LTD,"$48,600.00",2011-11-15,C00011318,Original,,,Justice,Service,Price Driven,Whitehorse,I,2011-12
Cooperative Marketing campaign,YUSEN TRAVEL CO LTD,"$5,800.00",2011-12-07,C00011319,Original,,,Tourism And Culture,Service,Value Driven,Other-Non Yukon,D,2011-12
GeoEye satellite images of Dawson,SHADOW LYNX ARTWORKS INC,"$3,620.00",2011-12-15,C00011471,Original,,HPW-ICT-GY-11-01,Highways & Public Works,Service,Value Driven,Whitehorse,D,2011-12
Proc-GeoEye Satellite Images of MacMillian Pass,SHADOW LYNX ARTWORKS INC,"$1,080.00",2011-12-15,C00011472,Original,,HPW-ICT-GY-11-01,Highways & Public Works,Service,Value Driven,Whitehorse,D,2011-12
Workshop Delivery Thinking on your Feet,MCLUHAN & DAVIES,"$23,244.00",2012-01-02,C00011405,Original,,,Public Service Commission,Service,Value Driven,Whitehorse,D,2011-12
Professional services,CAROLINE HAYES O/A,"$2,500.00",2011-12-09,C00011406,Original,,,Justice,Service,Value Driven,Whitehorse,D,2011-12
First Class Training and Consultation,STANTON MACKELLAR,"$6,000.00",2011-12-01,C00011320,Original,,,Education,Service,Value Driven,Whitehorse,D,2011-12
Orthopaedic Service for Residents of Yukon,M J PENNER SURGICAL SERV INC,"$150,000.00",2011-11-01,C00011321,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Taku River Tlingit First Nation Participation SLWC,TAKU RIVER TLINGIT,"$2,500.00",2011-04-01,C00011322,Original,,,Environment,Service,Value Driven,Whitehorse,D,2011-12
Repair Expansion Joint Yukon River Bridge Carmacks,KLONDIKE WELDING LTD,"$2,500.00",2011-10-06,C00011323,Original,,,Highways & Public Works,Service,Value Driven,Carmacks,D,2011-12
Web site revisions,OUTCROP YUKON LTD,"$4,513.00",2011-12-05,C00011324,Original,,,Economic Development,Service,Value Driven,Whitehorse,D,2011-12
Process GeoEye mono images Yukon north coast,SHADOW LYNX ARTWORKS INC,"$10,860.00",2011-12-15,C00011473,Original,,HPW-ICT-GY-11-01,Highways & Public Works,Service,Value Driven,Whitehorse,D,2011-12
"Supply & Purchase of Electric Power in Fraser, B.C",NEW ERA HYDRO CORPORATION,"$1,940,000.00",2011-12-16,C00011474,Original,,,Highways & Public Works,Service,Price Driven,Other-Non Yukon,D,2011-12
Pediatric Services for Yukon Residents,ROBERT J EVERETT,"$13,500.00",2012-01-16,C00011349,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Provision of medical services to inmates at WCC,DR LUCILLE STUART,"$23,120.00",2011-12-05,C00011350,Original,,,Justice,Service,Value Driven,Whitehorse,D,2011-12
Pediatric Services for Yukon Residents,JENNIFER DRUKER,"$13,500.00",2012-02-27,C00011351,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Prov of Serv Medical Officer- Medical Travel Prog,DR ANNE WILLIAMS,"$2,007.50",2011-12-15,C00011352,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2011-12
Professional Contract for Kids in Transition Prog,MANY RIVERS COUNSELLING &,"$3,000.00",2011-11-24,C00011407,Original,,,Justice,Service,Value Driven,Whitehorse,D,2011-12
Design Service Option 2 Destruction Bay Grader Stn,T-SQUARE ARCHITECTURE LTD,"$21,700.00",2011-11-28,C00011409,Original,,,Highways & Public Works,General Consulting,Value Driven,Destruction Bay,D,2011-12
Web site revisions,OUTCROP YUKON LTD,$0.00,2011-12-05,C00011324,1,,,Economic Development,Service,Value Driven,Whitehorse,D,2011-12
2012 Joint Yukon-Alaska Domestic Campaign,OUTSIDE THE CUBE MANAGEMENT,"$110,000.00",2011-12-02,C00011325,Original,,,Tourism And Culture,Service,Value Driven,Whitehorse,P,2011-12
