Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
Jan Olson Relocation,PACIFIC NORTHWEST MOVING,"$14,268.75",2025-06-25,C00082585,Original,,,Public Service Commission,Relocation services,Price Driven,Whitehorse,D,2025-26
ITSS room 153 and 154 door upgrade,ADVANCE SECURITY AND,"$2,000.00",2025-04-22,C00082642,Original,,,Highways & Public Works,IT System Maintenance,Price Driven,Whitehorse,D,2025-26
Provide workshops for ODB,CRISIS & TRAUMA RESOURCE,"$8,000.00",2025-04-01,C00082643,Original,,2023-9-2923,Public Service Commission,Training delivery,Value Driven,Whitehorse,D,2025-26
Recycling End of Life Vehicles and Scrap Metal from SWF's,URBAN AUTO RECYCLING LTD,"$690,143.75",2025-05-09,C00082644,Original,,,Community Services,Waste management,Request for Bids,Other,O,2025-26
Transportation of Seedlings,PACIFIC NW MOVING (YK) LTD O/A,"$5,186.66",2025-05-12,C00082715,Original,,,"Energy, Mines & Resources",Freight - transport - courier services,Price Driven,Whitehorse,D,2025-26
POTABLE WATER DELIVERY,LIARD FIRST NATION,"$10,000.00",2025-05-01,C00082716,Original,,,Community Services,Custodial and related services,Price Driven,Watson Lake,D,2025-26
Restorative Justice Coordination for Youth Offender 25/26,YUKON CIRCLE OF SOCIAL CHANGE,"$10,000.00",2025-05-01,C00082717,Original,,,Justice,Professional Services - others,Value Driven,Whitehorse,D,2025-26
Monitor and Review Committee member,COUNCIL OF YUKON FIRST,"$2,000.00",2025-04-01,C00082765,Original,,,Highways & Public Works,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Monitor and Review Committee,MICHAEL PEMBERTON O/A,"$3,000.00",2025-04-01,C00082766,Original,,,Highways & Public Works,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Microsoft Azure Security subscription licensing under EA,MICROSOFT CANADA CO,"$422,580.00",2025-05-01,C00082767,Original,,,Highways & Public Works,Goods - Software/IT,Value Driven,Whitehorse,D,2025-26
Minute Taking Services,536403 YUKON INC,"$9,100.00",2025-04-01,C00082768,Original,,,Highways & Public Works,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Distance Learning Courses,SCHOOL DISTRICT 71,"$5,000.00",2025-05-12,C00082827,Original,,,Education,Education related services,Price Driven,Other-Non Yukon,D,2025-26
AM Consulting services,RICHARD CHEREPAK O/A OUT AND,"$22,440.00",2025-05-12,C00082828,Original,,,Highways & Public Works,Professional Services - others,Value Driven,Whitehorse,D,2025-26
Waste Removal,FRANCOIS BRISEBOIS O/A BUSY,"$6,485.00",2025-05-14,C00082831,Original,,,"Energy, Mines & Resources",Professional Services - others,Price Driven,Whitehorse,D,2025-26
Attendant Services Ross River SWF,ERIK GULSTAD O/A ERIK'S,"$279,864.00",2025-04-01,C00081929,Original,,,Community Services,Waste management,Value Driven,Ross River,D,2025-26
School Physiotherapy.,SIMPLY HEALING PHYSIOTHERAPY,"$4,760.00",2025-04-01,C00081930,Original,,,Health & Social Services,Social Services,Price Driven,Whitehorse,D,2025-26
Printer Servicing,TLE'NAX T'AWEI INC O/A,"$9,000.00",2025-04-01,C00081931,Original,,,Health & Social Services,Printing services,Price Driven,Whitehorse,D,2025-26
Venue for GBV Trauma Level2 Training May2025,YUKONSTRUCT SOCIETY,"$3,065.00",2025-04-01,C00081996,Original,,,Justice,"Housing, accommodation, hotels",Value Driven,Whitehorse,D,2025-26
Venue for GBV Trauma Level2 Training May2025,YUKONSTRUCT SOCIETY,"$1,300.00",2025-04-01,C00081996,1,,,Justice,"Housing, accommodation, hotels",Value Driven,Whitehorse,D,2025-26
Pathology Services 2025/26,MINISTRY OF PUBLIC SAFETY,"$135,000.00",2025-04-01,C00081998,Original,,,Justice,Health Services except physician services under ACT,Price Driven,Whitehorse,D,2025-26
2025 2026 WCC GBV/IPV Education & Support Program,CHAD J NICHOL,"$49,999.99",2025-04-01,C00082054,Original,,,Justice,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Training for ODB,RITA CATHERINE FENN O/A,"$9,735.00",2025-04-01,C00082114,Original,,,Public Service Commission,Training delivery,Value Driven,Whitehorse,D,2025-26
Deliver training for ODB,CAROLYN (LYN) C HARTLEY,"$22,000.00",2025-04-01,C00082115,Original,,2023-9-2923,Public Service Commission,Training delivery,Value Driven,Whitehorse,D,2025-26
Whistle Bend - Porta Potti Rental - 2025,TLE'NAX T'AWEI INDUSTRIES LP,"$4,860.00",2025-04-01,C00082173,Original,,,Community Services,Waste management,Price Driven,Whitehorse,D,2025-26
Travel expenses and per diems,SUDIT RANADE PROFESSIONAL,"$3,454.27",2025-04-28,C00082174,Original,,,Health & Social Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Medical Goods,17770 YUKON INC O/A,"$2,480.12",2025-04-04,C00082176,Original,,,Health & Social Services,Goods - Equipment,Price Driven,Whitehorse,D,2025-26
Panic Button Monitoring,ADVANCE SECURITY AND,$700.00,2025-04-01,C00082243,Original,,,Community Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Proprietary software licenses.,GIMMAL LLC,"$40,920.00",2025-04-01,C00082244,Original,,,Highways & Public Works,Goods - Software/IT,Price Driven,Whitehorse,D,2025-26
Alarm Callouts,SECURITY SERVICES YUKON LTD,$450.00,2025-04-01,C00082302,Original,,,Highways & Public Works,Professional Services - others,Value Driven,Whitehorse,D,2025-26
Conceptual Planning for Ice Lake Road Intersection,42256 YUKON INC O/A,"$69,470.00",2025-04-15,C00082303,Original,,,Highways & Public Works,Engineering Services,Request for Proposals,Whitehorse,O,2025-26
Sterilization services.,YUKON HOSPITAL CORPORATION,"$3,768.96",2025-04-10,C00082304,Original,,,Health & Social Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
4x4 Operator Safety training,ARCTIC RESPONSE CANADA LTD,"$22,920.00",2025-04-01,C00082359,Original,,RFQ-2022-3-1469,Public Service Commission,Training delivery,Value Driven,Whitehorse,D,2025-26
4x4 Operator Safety training,ARCTIC RESPONSE CANADA LTD,$0.00,2025-04-01,C00082359,1,,RFQ-2022-3-1469,Public Service Commission,Training delivery,Value Driven,Whitehorse,D,2025-26
Aircraft Emergency Egress training,ARCTIC RESPONSE CANADA LTD,"$28,800.00",2025-04-01,C00082360,Original,,RFQ-2022-3-1469,Public Service Commission,Training delivery,Value Driven,Whitehorse,D,2025-26
Court Technology Services,SYLVIE BELLEFONTAINE,"$10,000.00",2025-04-10,C00082361,Original,,,Justice,General consulting services,Value Driven,Whitehorse,D,2025-26
Advertising in Yukon North of Ordinary 2025 summer edition.,HARPER STREET PUBLISHING,"$4,212.00",2025-04-14,C00082409,Original,,,Economic Development,Advertising,Value Driven,Whitehorse,D,2025-26
Supply and Delivery of Firewood Ethel Lake Campground,DAKER EXPLORATIONS INC,"$7,200.00",2025-04-29,C00082411,Original,,,Environment,Goods - General,Request for Bids,Stewart Crossing,O,2025-26
Digital mapping of the Dawson City Airport,UNDERHILL GEOMATICS LTD,"$24,980.00",2025-04-16,C00082470,Original,,,Highways & Public Works,Engineering Services,Request for Bids,Dawson City,I,2025-26
Archives Data Cleanup,TECHKNOW SOFTWARE CORP,"$10,000.00",2025-04-18,C00082471,Original,,,Highways & Public Works,IT System Development,Price Driven,Whitehorse,D,2025-26
Printer and services.,TLE'NAX T'AWEI INC O/A,"$6,064.00",2025-05-01,C00082472,Original,,,Health & Social Services,Printing services,Price Driven,Whitehorse,D,2025-26
Vehicle/ Body damage repairs unit 40329,PORTER CREEK COLLISION INC,"$2,943.07",2025-04-22,C00082473,Original,,,Fleet Vehicle Agency,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Vehicle/ Body damage repairs unit 40319,PORTER CREEK COLLISION INC,"$2,133.33",2025-04-22,C00082474,Original,,,Fleet Vehicle Agency,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Maintenance/Repairs for fleet vehicles,BOREAL ENGINEERING LTD,"$20,000.00",2025-04-22,C00082475,Original,,,Fleet Vehicle Agency,Goods - General,Price Driven,Whitehorse,D,2025-26
Lidar App Hosting - April 2025 to March 2026,"MCELHANNEY LTD, FORMERLY","$7,650.00",2025-04-01,C00082526,Original,,,Highways & Public Works,IT System Maintenance,Value Driven,Whitehorse,D,2025-26
SOUTH CAMPGROUNDS FIREWOOD,HUBBARD'S SERVICES INC,"$325,425.00",2025-04-30,C00082527,Original,,,Environment,Goods - General,Request for Bids,Other,O,2025-26
SOA 3252-17 - MAYO RIVER - INSPECTION & REGULATORY REPORTING,ECOLOGICAL LOGISTICS,"$50,601.00",2025-04-30,C00082586,Original,,3252-17-Type 2,Community Services,Environmental Services/ studies,Standing Offer Agreement (RFP),Mayo,O,2025-26
BIATHLON YUKON - TREE CLEARING,KETZA CONSTRUCTION,"$18,900.00",2025-04-25,C00082587,Original,,,Community Services,Landscaping,Price Driven,Whitehorse,D,2025-26
SOFTCHOICE AZURE ON CSP,SOFTCHOICE CANADA CORP,"$3,000.00",2025-06-01,C00082588,Original,,,Education,Goods - Software/IT,Value Driven,Whitehorse,D,2025-26
"One Month Rental of 84"" Drum Roller",CHILKOOT EQUIPMENT LTD O/A,"$11,080.00",2025-05-12,C00082645,Original,,,Highways & Public Works,Lease or Rental of heavy equipment,Price Driven,Whitehorse,D,2025-26
Medical Travel Advisor,DR. JESSICA BLAKER,"$67,791.36",2025-04-01,C00082646,Original,,,Health & Social Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Plumbing Services,17627 YK INC O/A,"$6,821.33",2025-04-01,C00082651,Original,,,Health & Social Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Preventative Maintenance and Repairs,17770 YUKON INC O/A,"$22,000.00",2025-05-01,C00082652,Original,,,Health & Social Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Analyze and benchmarking of the Yukon Gathering Place,SIVERTSON & ASSOCIATES,"$11,065.00",2025-04-30,C00082718,Original,,,Tourism And Culture,General consulting services,Value Driven,Whitehorse,D,2025-26
Honda Outboard Repair for YG ENV EC&I,12743 YUKON INC O/A,"$4,999.00",2025-05-06,C00082719,Original,,,Environment,Goods - General,Price Driven,Whitehorse,D,2025-26
Physician Accommodation,RYAN P O'DONOVAN,"$10,300.00",2025-05-10,C00082769,Original,,,Health & Social Services,"Housing, accommodation, hotels",Price Driven,Whitehorse,D,2025-26
Vehicle/ Body damage repairs unit 46316,PORTER CREEK COLLISION INC,"$2,957.29",2025-04-01,C00082770,Original,,,Fleet Vehicle Agency,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Vehicle/ Body damage repairs unit 47889,PORTER CREEK COLLISION INC,"$2,263.82",2025-04-22,C00082771,Original,,,Fleet Vehicle Agency,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Rest Stop maintenance for Fraser area,TUTSHI RIVER CONTRACTING LTD,"$25,500.00",2025-05-06,C00082772,Original,,,Highways & Public Works,Custodial and related services,Price Driven,Carcross,D,2025-26
Annual FME Desktop Software Maintenance Renewal,SAFE SOFTWARE INC,"$6,390.00",2025-05-31,C00082773,Original,,,Highways & Public Works,IT System Maintenance,Value Driven,Whitehorse,D,2025-26
SLP services,ANNE-SOIZIC RAUX,"$1,680.00",2025-05-15,C00082832,Original,,,Health & Social Services,Social Services,Price Driven,Whitehorse,D,2025-26
CPVSTF Audit 2024-25,ESTRADA AND TAN,"$15,000.00",2025-05-12,C00082833,Original,,,Justice,"Actuarial, Accounting, Financial Services",Price Driven,Whitehorse,D,2025-26
Flooring Replacement YU Administration,ANDREW L MAYNARD,"$24,767.50",2025-05-12,C00082834,Original,,,Highways & Public Works,Construction - building maintenance,Value Driven,Whitehorse,D,2025-26
Provide translation services to Yukon Courts,CENTRE DE TRADUCTION ET DE,"$20,000.00",2025-04-01,C00081933,Original,,,Justice,Professional Services - others,Value Driven,Other-Non Yukon,D,2025-26
Court Circuit Hall Rental,SELKIRK FIRST NATION,"$2,400.00",2025-04-01,C00081999,Original,,,Justice,Professional Services - others,Value Driven,Pelly Crossing,D,2025-26
Xerox Printer Services WCC 2025-2026,XEROX CANADA LTD,"$10,000.00",2025-04-01,C00082000,Original,,,Justice,Printing services,Price Driven,Whitehorse,D,2025-26
WCC Client Taxi Service 2025/26,YELLOW CABS GROUP LTD,"$30,000.00",2025-04-01,C00082055,Original,,,Justice,Freight - transport - courier services,Price Driven,Whitehorse,D,2025-26
CCB Chair Secretarial.,841403 YUKON INC O/A,"$493,200.00",2025-04-01,C00082057,Original,,,Health & Social Services,Professional Services - others,Request for Proposals,Whitehorse,O,2025-26
Extension contract for Apprendo,APPRENDO LEARNING SYSTEMS INC,"$13,600.00",2025-04-01,C00082058,Original,,,Public Service Commission,Professional Services - others,Value Driven,Whitehorse,D,2025-26
CAMPGROUND MAINTENANCE,JOEL POTIE O/A TAIGA,"$31,500.00",2025-05-05,C00082116,Original,,,Environment,Professional Services - others,Request for Bids,Dawson City,I,2025-26
POSSE annual licensing fee [Annual support],COMPUTRONIX (CANADA) LTD,"$62,436.34",2025-04-01,C00082117,Original,,,Environment,IT System Maintenance,Price Driven,Whitehorse,D,2025-26
Traffic control for bridge inspection.,TRUCKWAYS TRANSPORT (1977) LTD,"$9,450.00",2025-04-08,C00082177,Original,,,Highways & Public Works,Professional Services - others,Price Driven,Teslin,D,2025-26
Transportation,YELLOW CABS GROUP LTD,"$2,500.00",2025-04-07,C00082178,Original,,,Health & Social Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Design and Placement of Ads for Yukon Gazette,AASMAN BRAND COMMUNICATIONS,"$3,960.00",2025-04-01,C00082179,Original,,,Highways & Public Works,Advertising,Price Driven,Whitehorse,D,2025-26
Premium for Insurance Placed by Insurance Broker,BFL CANADA RISK AND INSURANCE,"$6,164.00",2025-04-01,C00082180,Original,,,Highways & Public Works,Professional Services - others,Request for Proposals,Whitehorse,O,2025-26
Hydrostatic testing for FMO,JACOBS INDUSTRIES LTD,"$3,000.00",2025-04-04,C00082181,Original,,,Community Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Haines Junction Aerodrome Block Layout,LUMBERFOLK FOREST CONSULTANTS,"$3,176.34",2025-04-07,C00082245,Original,,RFQ-2024-4-3553,Community Services,Environmental Services/ studies,Price Driven,Whitehorse,D,2025-26
Portable Toilet Rental & Services,NORTHWEST VACCUUM SERVICES LTD,"$10,000.00",2025-04-08,C00082247,Original,,,Community Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
P2325523 - TRM - Travel the Yukon Safely booklets,ARCTIC STAR PRINTING INC,"$7,843.00",2025-04-08,C00082305,Original,,,Highways & Public Works,Printing services,Price Driven,Whitehorse,D,2025-26
Ad publishing.,HARPER STREET PUBLISHING,"$2,666.00",2025-04-21,C00082306,Original,,,Health & Social Services,Communications/public relations Services,Price Driven,Whitehorse,D,2025-26
Yukon & Porcupine Rivers Ice Breakup Monitoring,GREAT RIVER AVIATION LTD,"$24,304.00",2025-04-14,C00082307,Original,,,Environment,Air Charter,Price Driven,Dawson City,D,2025-26
Yukon & Porcupine Rivers Ice Breakup Monitoring,GREAT RIVER AVIATION LTD,$0.00,2025-04-14,C00082307,1,,,Environment,Air Charter,Price Driven,Dawson City,D,2025-26
Moving Soil at Marsh Lake SWF,536402 YUKON INC O/A,"$15,550.00",2025-04-11,C00082362,Original,,,Community Services,Landscaping,Price Driven,Whitehorse,D,2025-26
Software,PARKLANE SYSTEMS INC,"$36,460.00",2025-04-01,C00082363,Original,,,Public Service Commission,IT System Maintenance,Value Driven,Whitehorse,D,2025-26
Diversity and Inclusion workshops.,JUNIPER METISSE REDVERS O/A,"$49,400.00",2025-04-07,C00082364,Original,,,Public Service Commission,Professional Services - others,Value Driven,Whitehorse,D,2025-26
Provide Excel training for ODB,YUKON UNIVERSITY,"$28,000.00",2025-04-07,C00082365,Original,,2023-9-2923,Public Service Commission,Training delivery,Value Driven,Whitehorse,D,2025-26
Supply and Delivery of Firewood to Yukon River Campground,HUBBARD'S SERVICES INC,"$88,055.00",2025-04-29,C00082412,Original,,,Environment,Goods - General,Request for Bids,Dawson City,O,2025-26
Brush clearance in preparation for Rec Centre,CHIEF ISAAC INCORPORATED,"$32,660.00",2025-04-15,C00082413,Original,,,Community Services,Landscaping,Price Driven,Dawson City,D,2025-26
Conrad Historic Site Brushing,T&C PROFESSIONAL TREE SERVICES,"$9,624.00",2025-05-01,C00082414,Original,,,Tourism And Culture,Professional Services - others,Price Driven,Carcross,D,2025-26
Detail/Cleaning services for Fleet vehicles,JGV SERVICES INCORPORATED,"$5,000.00",2025-04-01,C00082476,Original,,,Fleet Vehicle Agency,Professional Services - others,Price Driven,Watson Lake,D,2025-26
Network Switches,VCURA CANADA INCORPORATED,"$7,500.00",2025-04-25,C00082478,Original,,,Highways & Public Works,Goods - Software/IT,Price Driven,Whitehorse,D,2025-26
Collect IRI data on sealed roads using mobile application.,TOTAL PAVE INC,"$4,500.00",2025-04-01,C00082479,Original,,,Highways & Public Works,IT System Development,Value Driven,Whitehorse,D,2025-26
Deliver 2SLGBTQIA workshop,PRODUCTIVE CONFLICT LLC,"$35,000.00",2025-04-01,C00082480,Original,,,Public Service Commission,Training delivery,Value Driven,Whitehorse,D,2025-26
Painting ODB offices,HOUGENS LIMITED,"$3,666.58",2025-04-01,C00082481,Original,,,Public Service Commission,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Supply and Delivery of Campground Firewood - Pine Lake,EARL THOMPSON O/A,"$23,075.00",2025-04-29,C00082528,Original,,,Environment,Goods - General,Request for Bids,Other,O,2025-26
CISCO C9200 switches,CHARTER TELECOM INC,"$23,584.55",2025-04-23,C00082529,Original,,SOA 5857,Highways & Public Works,IT System Development,Standing Offer Agreement (RFB),Whitehorse,I,2025-26
Internet Gateway Replacement,VCURA CANADA INCORPORATED,"$13,100.00",2025-04-30,C00082530,Original,,,Highways & Public Works,IT System Development,Price Driven,Whitehorse,D,2025-26
Supply and Delivery of Firewood to Haines Campgrounds,BILL'S WOODCUTTING LTD,"$46,675.00",2025-04-29,C00082531,Original,,,Environment,Goods - General,Request for Bids,Haines Junction,O,2025-26
City of Whitehorse Tipping Fees,CITY OF WHITEHORSE,"$400,000.00",2025-05-19,C00082589,Original,,,Community Services,Waste management,Value Driven,Whitehorse,D,2025-26
"Replacement of Wagon Creek Bridge km 406.3, Canol Road",COBALT CONSTRUCTION INC,"$94,500.00",2025-04-24,C00082590,Original,,,Highways & Public Works,Construction - road,Request for Bids,Ross River,O,2025-26
WASTE WATER PICK UP AND TRANSPORT,NORTHWEST VACCUUM SERVICES LTD,"$4,000.00",2025-05-01,C00082591,Original,,,Highways & Public Works,Waste management,Price Driven,Whitehorse,D,2025-26
WASTE WATER PICK UP AND TRANSPORT,NORTHWEST VACCUUM SERVICES LTD,"$9,000.00",2025-05-01,C00082592,Original,,,Highways & Public Works,Waste management,Price Driven,Whitehorse,D,2025-26
Pine Medical Clinical Space,PINE MEDICAL CENTRE,"$445,131.60",2025-04-01,C00082655,Original,,,Health & Social Services,Leased Office Space,Price Driven,Whitehorse,D,2025-26
Leadership coaching,JENNIFER ENGLAND O/A SPARK,"$34,999.00",2025-05-29,C00082658,Original,,,"Energy, Mines & Resources",General consulting services,Price Driven,Whitehorse,D,2025-26
Locum Provision of Hospitalist Services to WGH,TANYA MARIE DOYLE,"$73,813.00",2025-04-30,C00082661,Original,,,Health & Social Services,Physician Services under ACT,Value Driven,Whitehorse,D,2025-26
Locum Provision of Hospitalist Services to WGH,TANYA MARIE DOYLE,"$126,187.00",2025-04-30,C00082661,1,,,Health & Social Services,Physician Services under ACT,Value Driven,Whitehorse,D,2025-26
Wilderness First Aid Training,ARCTIC RESPONSE CANADA LTD,"$18,360.00",2025-05-02,C00082662,Original,,,"Energy, Mines & Resources",Training delivery,Price Driven,Whitehorse,D,2025-26
Templates for external communication,LOUISE SKOOKUM O/A SKOOKUM,"$1,260.00",2025-05-02,C00082720,Original,,,"Energy, Mines & Resources",Graphic design services,Price Driven,Whitehorse,D,2025-26
Facility rental for Wildland Fire Training,RECEIVER GENERAL FOR CANADA,"$30,000.00",2025-05-05,C00082721,Original,,,Community Services,Leased Office Space,Price Driven,Whitehorse,D,2025-26
Pit Development 1561 and 1589 AH,JORDAN LESCHART O/A GEAR WORX,"$6,950.00",2025-05-07,C00082722,Original,,,Highways & Public Works,Construction - road,Price Driven,Other,D,2025-26
Contractor Services for Pressure Reducing Valves at YukonU,WILDSTONE CONSTRUCTION LTD,"$132,299.00",2025-05-06,C00082774,Original,,,Highways & Public Works,Construction - building maintenance,Request for Bids,Whitehorse,O,2025-26
Tiger Dam Deployment/Demob,TOTALTRAC RENTALS LTD,"$49,000.00",2025-05-07,C00082776,Original,,,Community Services,Installation of Goods/Equipment,Price Driven,Whitehorse,D,2025-26
Interior Painting at St. Elias School,IVAN HANS EMERY SUNDBY O/A,"$74,500.00",2025-05-06,C00082777,Original,,,Highways & Public Works,Construction - building maintenance,Request for Bids,Haines Junction,I,2025-26
Grading of parking lots and associated roadways.,NORCOPE ENTERPRISES LTD,"$15,000.00",2025-05-09,C00082835,Original,,,Highways & Public Works,Construction - utilities / infrastructure maintenance,Price Driven,Whitehorse,D,2025-26
Dawson - Upper Dome Road - Access Engineering Study,ASSOCIATED ENGINEERING,"$27,825.00",2025-05-07,C00082836,Original,,,Community Services,Engineering Services,Value Driven,Dawson City,D,2025-26
OUTHOUSE RENTAL & PUMP OUT SERVICES,GRENON ENTERPRISES,"$12,000.00",2025-05-16,C00082837,Original,,,Community Services,Waste management,Price Driven,Dawson City,D,2025-26
To provide accommodations for Deputy Judges,BILLY AND LILLY RESTAURANT,"$37,000.00",2025-04-01,C00081937,Original,,,Justice,Professional Services - others,Value Driven,Whitehorse,D,2025-26
To provide accommodations for Deputy Judges,ANDREW CHARLES PETTITT,"$20,000.00",2025-04-01,C00081938,Original,,,Justice,Professional Services - others,Value Driven,Whitehorse,D,2025-26
Catering for 2025 Foreperson's Conference,KITS UPNORTH KITCHEN CORP,"$8,947.00",2025-04-08,C00081940,Original,,,Highways & Public Works,Professional Services - others,Price Driven,Whitehorse,D,2025-26
2025-2026 Therapeutic Mind-Body Program,DANIKA KLUANE O/A TRAUMA,"$19,760.00",2025-04-01,C00082001,Original,,,Justice,Professional Services - others,Value Driven,Whitehorse,D,2025-26
Advertising - Judicial Council,BLACK PRESS GROUP LTD,"$2,367.75",2025-04-01,C00082002,Original,,,Justice,Advertising,Value Driven,Whitehorse,D,2025-26
2025-2026 First Nation Elder GBV/IPV Prevention Program,JERRY L SOLTANI,"$49,999.99",2025-04-01,C00082003,Original,,,Justice,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Secretarial services for hearings-2025-26 fiscal year,COLLEEN HENRY O/A CAH SERVICES,"$25,000.00",2025-04-01,C00082004,Original,,,Justice,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Rest Stop Cleaning Services for Carcross Area 2025-2026,TUTSHI RIVER CONTRACTING LTD,"$115,664.00",2025-04-01,C00082059,Original,,,Highways & Public Works,Professional Services - others,Request for Proposals,Carcross,O,2025-26
Custodial  Services,15042 YUKON INC,"$17,820.00",2025-04-01,C00082062,Original,,,Health & Social Services,Custodial and related services,Price Driven,Whitehorse,D,2025-26
PHOTOCOPIER MAINTENANCE AND SERVICES-GoldenHorn,XEROX CANADA LTD,"$4,000.00",2025-04-01,C00082118,Original,,,Education,Printing services,Price Driven,Whitehorse,D,2025-26
Toxicology services - 2025-26,PROVINCIAL HEALTH SERVICES,"$40,000.00",2025-04-01,C00082120,Original,,,Justice,Professional Services - others,Value Driven,Other-Non Yukon,D,2025-26
Kenworth Upgrade Computer Diagnose and Repair,INLAND KENWORTH,"$10,000.00",2025-04-01,C00082121,Original,,,Community Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Yukon Party Caucus Advertising: 2025 Excellence Awards,WHITEHORSE CHAMBER OF COMMERCE,"$5,000.00",2025-04-01,C00082182,Original,,,Legislative Assembly,Advertising,Price Driven,Whitehorse,D,2025-26
Freightliner Upgrade Computer Diagnose and Repair,DON COX ENTERPRISES LTD O/A,"$9,000.00",2025-04-04,C00082183,Original,,,Community Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Desks,TLE'NAX T'AWEI INC O/A,"$4,347.00",2025-04-04,C00082185,Original,,,Health & Social Services,Goods - General,Price Driven,Whitehorse,D,2025-26
Watson Lake - Frances Ave - Appraisal,QUALITY APPRAISALS INC,"$6,200.00",2025-04-07,C00082248,Original,,2022-12-2072-1,Community Services,Professional Services - others,Standing Offer Agreement (RFP),Watson Lake,O,2025-26
Watson Lake - Frances Ave - Appraisal,QUALITY APPRAISALS INC,$0.00,2025-04-07,C00082248,1,,2022-12-2072-1,Community Services,Professional Services - others,Standing Offer Agreement (RFP),Watson Lake,O,2025-26
Clinic Space,SOLSTICE CLINIC INC,"$360,000.00",2025-04-01,C00082249,Original,,,Health & Social Services,Leased Office Space,Price Driven,Whitehorse,D,2025-26
Lodging,CLIFFORD RANDY LOEWEN AND,"$4,975.00",2025-04-11,C00082308,Original,,,Health & Social Services,"Housing, accommodation, hotels",Price Driven,Whitehorse,D,2025-26
Annual Support Fee (renewal),THOMAS INTERNATIONAL INC,"$2,256.08",2025-04-01,C00082310,Original,,,Community Services,Professional Services - others,Value Driven,Whitehorse,D,2025-26
TV and Mount,6951341 CANADA INC O/A,"$1,705.90",2025-04-11,C00082311,Original,,,Health & Social Services,Goods - General,Price Driven,Whitehorse,D,2025-26
Compost and Recycling Services,LANIX PROPERTY MANAGEMENT LTD,"$44,217.00",2025-05-01,C00082366,Original,,,Environment,Waste management,Request for Bids,Whitehorse,O,2025-26
Consulting services.,NORTHERN INTEGRATION LTD,"$10,637.50",2025-04-17,C00082367,Original,,,Health & Social Services,Professional Services - others,Price Driven,Whitehorse,D,2025-26
Dawson reservoir - control system programming,ASSOCIATED ENGINEERING,"$16,000.00",2025-04-15,C00082415,Original,,,Community Services,Engineering Services,Price Driven,Dawson City,D,2025-26
SAS Replacement Project,MAKE IT INC,"$450,120.00",2025-04-14,C00082416,Original,,,Highways & Public Works,IT System Development,Price Driven,Whitehorse,D,2025-26
Premium for Insurance Placed by Insurance Broker,BFL CANADA RISK AND INSURANCE,"$1,297,131.00",2025-04-01,C00082417,Original,,,Highways & Public Works,Professional Services - others,Request for Proposals,Whitehorse,O,2025-26
Locum Provision of Hospitalist Services to WGH,DR GRAHAM KOPJAR PROFESSIONAL,"$26,025.00",2025-04-18,C00082419,Original,,,Health & Social Services,Physician Services under ACT,Value Driven,Whitehorse,D,2025-26
Physician Locum Services to Dawson City,DR EZEKIAL DAVID STEVE,"$21,523.59",2025-04-15,C00082421,Original,,,Health & Social Services,Physician Services under ACT,Value Driven,Dawson City,D,2025-26
Chickweeders - Dawson Horticulture Services 2025,ROSE O'RILEY BRENNAN O/A,"$17,280.00",2025-05-15,C00082483,Original,,,Highways & Public Works,Landscaping,Price Driven,Dawson City,D,2025-26
counter top alteration/photocopier installation,HENRY BAUERNFEIND,"$5,650.00",2025-04-17,C00082484,Original,,,Health & Social Services,Construction - building maintenance,Price Driven,Whitehorse,D,2025-26
Accommodations.,ELIZABETH WOODS,"$1,700.00",2025-04-28,C00082485,Original,,,Health & Social Services,"Housing, accommodation, hotels",Price Driven,Whitehorse,D,2025-26
Upper Liard Flood Mapping Study,ATKINSREALIS CANADA INC,"$258,287.00",2025-05-05,C00082532,Original,,,Environment,Environmental Services/ studies,Request for Proposals,Whitehorse,O,2025-26
Water Bottle Filling Station Install,ORION MECHANICAL YUKON INC,"$6,500.00",2025-04-25,C00082533,Original,,,Highways & Public Works,Construction - building maintenance,Price Driven,Whitehorse,D,2025-26
