Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
81264-01 RUBBERS 84983/P27003/1HD,DON COX ENTERPRISES LTD O/A   ,$40.00,2010-08-26,165983,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
P55-0248 FILTER (ITEM 16589) 87246/P56540/19 TUCHITUA,UAP INC                       ,$42.00,2010-08-26,165986,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
P55-8712 FILTER (ITEM 11585) 87245/P56541/19 TUCHITUA,UAP INC                       ,$32.00,2010-08-26,165986,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
9V8786 SEAT ASSY 90190/P21307/18 TESLIN,FINNING INTERNATIONAL INC     ,$874.00,2010-08-27,165988,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
06U-756 FITTING 91313/42099/057729/1A,UAP INC                       ,$16.00,2010-10-05,165990,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
HA-NEP-38-100-6 100' PRESSURE WASH HOSE 93824/57382/057651/1A,AJAX STEEL LIMITED            ,$223.00,2010-08-27,165996,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
20000457370 QUICK CONNECTOR FEMALE 93824/57382/057651/1A,AJAX STEEL LIMITED            ,$10.00,2010-08-27,165996,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"AA612L RIVETS 3/16"" X 3/4"" LONG 93830/P31019/1A",AJAX STEEL LIMITED            ,$58.00,2010-08-27,165996,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
2000045730 MALE HOSE COUPLER 93831/57382/057651/1A,AJAX STEEL LIMITED            ,$10.00,2010-08-27,165996,,14,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
6094 LINER-PAINT TRAY 02982/18253/057862/1A,AJAX STEEL LIMITED            ,$2.00,2010-08-27,165996,,27,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
841007 SOCKETS 94304/P21302/10 BLANCHARD,UAP INC                       ,$12.00,2010-09-02,165999,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
62171 back up lamps 42833/P23175/24 WATSON,UAP INC                       ,$12.00,2010-09-02,165999,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
44601 STROBE TUBES (ITEM 15836) 74893/P21321/9 HAINES,UAP INC                       ,$56.00,2010-09-02,165999,,16,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"MMM1100 PLUGS,EAR 75576/SHOP/6",CDACKLANDSWH,$48.00,2010-08-30,166001,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"MMM1100 PLUGS,EAR 75576/SHOP/6",CDACKLANDSWH,$24.00,2010-08-30,166001,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
KMB34644 EYE WASH 75576/SHOP/6 DAWSON,CDACKLANDSWH,$48.00,2010-08-30,166001,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"HDLQB1HYG PLUGS,HEARING 86504/99000/11 KLONDIKE",CDACKLANDSWH,$15.00,2010-08-30,166001,,14,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"BUSLP¿CC2 FUSE,CC 86365/P57381/6 DAWSON",CDACKLANDSWH,$150.00,2010-08-30,166001,,15,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
74402-3404 (TDA R955342) ABS SENSOR 75859/P15283/28 FRASER,DON COX ENTERPRISES LTD O/A   ,$57.00,2010-09-09,166004,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
ABPN83316170 HEATER CONTROL KNOB 89132/P15278/1HD,DON COX ENTERPRISES LTD O/A   ,$3.00,2010-09-09,166004,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
81292 PIN 80417/P23181/15,INLAND KENWORTH               ,$252.00,2010-05-03,164993,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
80976 BUSHING 85040/P23177/6 DAWSON,INLAND KENWORTH               ,$50.00,2010-05-03,164993,,17,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
15005612 ISOLATOR SWAY BAR FRONT 87001/45011/056655/1A,KLONDIKE MOTORS INC O/A       ,$66.00,2010-04-30,165003,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
15745156 PLATE SKID 87068/46134/056702/1A,KLONDIKE MOTORS INC O/A       ,$64.00,2010-04-30,165003,,19,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
11562588 PLUG OIL PAN DRAIN ENGINE 87021-22/P20671/1A,KLONDIKE MOTORS INC O/A       ,$8.00,2010-04-30,165003,,27,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
TSA2023 RV BATTERY 12VOLT 5.0AMP HOUR 89931/P77064/1HD,TERRITORIAL AUTO PARTS        ,$20.00,2010-05-03,165007,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
12748982 SIGNAL STAT HARNESS 90152/23182/18.,INLAND KENWORTH               ,$144.00,2010-05-04,165010,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
R128455 HOSE RADIATOR 79396/P56548/1A,BRANDT TRACTOR LTD            ,$49.00,2010-06-24,165433,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
RE47519 FAN BLOWER RADIATOR 79396/P56548/1A,BRANDT TRACTOR LTD            ,$151.00,2010-06-24,165433,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
3820872 GASKET 89151/P16233/24 WATSON,INLAND KENWORTH               ,$13.00,2010-06-24,165434,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
FREIGHT 89151/P16233/24 WATSON,INLAND KENWORTH               ,$75.00,2010-06-24,165434,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
16963-Z11-000 LEVER FUEL COCK 86765/56537/057022/1A,CDYKHONDA,$4.00,2010-06-30,165435,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
96082 FLAT GLASS LH FR LWR WINDOW 89550/P23192/1HD,DON COX ENTERPRISES LTD O/A   ,$52.00,2010-06-29,165440,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
A22 SRT1540T SAE15W40 OIL 83055/99001/2,NORTH 60 PETRO LTD            ,$176.00,2010-06-28,165444,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
A2 MSHD10P SAE10W OIL 83055/99001/2,NORTH 60 PETRO LTD            ,$59.00,2010-06-28,165444,,14,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
A28 SRTA0W30H SAE0W30 OIL 83055/99001/2,NORTH 60 PETRO LTD            ,$248.00,2010-06-28,165444,,15,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
A20 SRT1540C SAE15W40 OIL 87152/P56543/1A,NORTH 60 PETRO LTD            ,$42.00,2010-06-28,165444,,18,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
90123 LENSE AMBER MARKER LITE 83694/43091/056834/1A,CDACKLANDSWH,$1.00,2010-06-28,165445,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
ZC-55-XL NITRATE TECH GLOVES 89024/99000/1TR,WHITEHORSE MOTORS LIMITED     ,$190.00,2010-06-28,165446,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
P78-0522 FILTER AIR PRIM. 87151/56548/1A,UAP INC                       ,$17.00,2010-06-28,165447,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
15918 FILTER KIT TRANS 93897/P20680/1A,UAP INC                       ,$29.00,2010-06-28,165447,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
4773 FILTER CAB AIR 86858/40242/057141/1A,UAP INC                       ,$11.00,2010-06-28,165447,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
WIRE-GREEN-16 GA. (100 FT ROLL),UAP INC                       ,$11.00,2010-04-14,164849,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"FILTER, ENGINE OIL 40-268 TO 40-292 40-294 TO 40-297",UAP INC                       ,$3.00,2010-04-14,164850,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"FILTER, OIL. DNR USE ITEM 16592 NAPA SUPERCEDED 7073 WITH 7060",UAP INC                       ,$42.00,2010-04-14,164850,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"HUBBEL PLUG ""MALE""",EECOL ELECTRIC CORP           ,$139.00,2010-04-14,164851,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"BEARING, PILLOW BLOCK",QUALITY BEARING SUPPLY LTD    ,$96.00,2010-04-14,164853,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
SEAL KIT,INLAND KENWORTH               ,$266.00,2010-04-14,164854,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"DRUM, FRONT BRAKE DO NOT REORDER SPECIFY MOTORWHEEL",INLAND KENWORTH               ,$338.00,2010-04-14,164855,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
DUST CAPS *USE ITEM 7838*,INLAND KENWORTH               ,$6.00,2010-04-14,164857,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
DUST PLUGS,INLAND KENWORTH               ,$2.00,2010-04-14,164857,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
4V8508 BUCKET LINK 88755/P21011/1HD,UNION TRACTOR LTD             ,$973.00,2010-04-14,164858,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
RADIATOR REPAIR 84810/P56504/6,WHITEHORSE RADIATOR SHOP LTD  ,$840.00,2010-04-16,164864,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
66851 PIGTAILS 79022/P12044/12 MAYO,UAP INC                       ,$30.00,2010-04-16,164868,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
NIPPLE 84596/P60800/6,DAWSON HARDWARE LTD           ,$8.00,2010-04-21,164869,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
PIPE 84956/P60800/6,DAWSON HARDWARE LTD           ,$16.00,2010-04-21,164869,,18,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
ELBOW 84956/P60800/6,DAWSON HARDWARE LTD           ,$2.00,2010-04-21,164869,,19,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
NIPPLE 87956/P60800/6,DAWSON HARDWARE LTD           ,$2.00,2010-04-21,164869,,20,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
COL CHANGE OVER LIGHT TRUCK 20700/1A/AVIVONE,YUKON TIRE CENTRE INC         ,$168.00,2010-04-22,164870,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
SHP SHOP SUPPLIES 20700/1A/AVIVONE,YUKON TIRE CENTRE INC         ,$8.00,2010-04-22,164870,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
7060MP FILTER ENGINE OIL 94026/P20553/1A,UAP INC                       ,$4.00,2010-04-16,164871,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
7323 FILTER ENGINE OIL 94037/43102/056603/1A,UAP INC                       ,$16.00,2010-04-16,164871,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
1394 FILTER OIL ENGINE 87110/40271/056661/1A,UAP INC                       ,$5.00,2010-04-16,164871,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
REPAIRS AS PER INVOICE 2025 91424/15286/57277/1HD,PAINT'EN PLACE INC            ,"$1,843.00",2010-08-31,166006,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
DBL SWING 24' PIT GATE WITH NO POSTS DEEP CREEK REPL. SPLIT-HWYS & COMM SERV,TAMARACK WELDING AND THE      ,"$1,661.00",2010-09-08,166007,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
CIRCUIT BREAKER - 30AMP,DON COX ENTERPRISES LTD O/A   ,$36.00,2010-09-01,166018,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
ENGINE FAN BELT 21326-21330,NORTH 60 PETRO LTD            ,$32.00,2010-09-01,166025,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"PLUG, TRIPLE CONTACT",UAP INC                       ,$1.00,2010-09-01,166028,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
AIR FILTER PRIMARY,UAP INC                       ,$8.00,2010-09-01,166029,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"FILTER, ENGINE OIL, 4.8L VORTEC",UAP INC                       ,$20.00,2010-09-01,166029,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"FILTER, AIR",UAP INC                       ,$14.00,2010-09-01,166029,,13,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"FILTER, AIR FITS 40217-225",UAP INC                       ,$14.00,2010-09-01,166029,,15,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"FILTER, ENGINE OIL 40-268 TO 40-292 40-294 TO 40-297",UAP INC                       ,$6.00,2010-09-01,166029,,20,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
PAD AND HOLDER ASSY *SEE IDL*,INLAND KENWORTH               ,$196.00,2010-09-01,166038,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"BLADE, CHAMPION GRADER WIPER",INLAND KENWORTH               ,$70.00,2010-09-01,166038,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"MIRROR, HEATED, 24V",INLAND KENWORTH               ,$296.00,2010-09-01,166038,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
34DC-925 DEEP CYCLE BATTERY 86891/91159/057466/1A,CDCANTIREWHH,$420.00,2010-09-01,166043,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"402113 STEP,CAB 85882/057405/23189/13 OGILVIE",INLAND KENWORTH               ,"$1,163.00",2010-09-01,166046,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"40PLS CLAMP 4"" STEP EXHAUST 86877/43077/057018/1A",INLAND KENWORTH               ,$13.00,2010-05-04,165012,,18,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
CXT-5-LM12 OIL TRANS MERCON V 87005/P18246/1A,WHITEHORSE MOTORS LIMITED     ,$30.00,2010-05-04,165013,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
YTG ENVIRO TIRE TAX 15285/1HD/AVIVONE,GOODYEAR CANADA INC           ,$40.00,2010-05-05,165016,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"1365 FILTER, OIL 84924/62082/056725/6",NORTHERN SUPERIOR MECHANICAL  ,$11.00,2010-05-20,165019,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
K066-421 BUSHING-REAR ENG. SUPPORT 89712/P11251/1HD,INLAND KENWORTH               ,$196.00,2010-05-04,165025,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
ACETYLENE CYL LARGE 88765/99000/1WB,JACOBS INDUSTRIES LTD         ,$145.00,2010-05-04,165028,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"82¿2150 SWITCH,IGN. *P1* 75359/P25009/6",NORTHERN SUPERIOR MECHANICAL  ,$28.00,2010-06-28,165448,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"P550527 FILTER,FUEL 84900/057066/90046/6",NORTHERN SUPERIOR MECHANICAL  ,$78.00,2010-06-28,165448,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"85¿300A CHARGER,BATTERY 84925/P56554/13",NORTHERN SUPERIOR MECHANICAL  ,$59.00,2010-06-28,165448,,17,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"32¿545D CABLES,JUMPER 88891/P18246/BST DAWSON",NORTHERN SUPERIOR MECHANICAL  ,$160.00,2010-06-28,165448,,21,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"82¿1058B PLUG,TRL. 75467/P52463/6",NORTHERN SUPERIOR MECHANICAL  ,$9.00,2010-06-28,165448,,22,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
12251-ZJ1-841 GASKET CYL. HEAD 86763/60284/057010/1A,CDYKHONDA,$44.00,2010-06-28,165449,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
13010-ZJ1-841 RING SET PISTON 86763/60284/057010/1A,CDYKHONDA,$74.00,2010-06-28,165449,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
98079-5587V SPARK PLUG 86763/60284/057010/1A,CDYKHONDA,$8.00,2010-06-28,165449,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
26¿01¿7517 BRUSHES 82862/P25504/6 DAWSON,UAP INC                       ,$4.00,2010-06-29,165451,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"G922038M44M100 HOSE, 3/8"" AIR 85846/057166/18251/6",CDNIS,$68.00,2010-07-09,165456,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
FW14 HUB PINS 80425/P50184/15 ROSS RIVER,BLAIRMORE PRECISION MACHINING ,$536.00,2010-06-29,165457,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
FW10 TIRE & WHEEL ASSY 80425/P50184/15 ROSS RIVER,BLAIRMORE PRECISION MACHINING ,$405.00,2010-06-29,165457,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
FW31 HUB DUST CAP 80425/P50184/15 ROSS RIVER,BLAIRMORE PRECISION MACHINING ,$7.00,2010-06-29,165457,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
F1525760 BANDAGES 89026/99000/1TR,AJAX STEEL LIMITED            ,$20.00,2010-06-30,165460,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
F4002100 COLD PACKS 89026/99000/1TR,AJAX STEEL LIMITED            ,$5.00,2010-06-30,165460,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"65004 HEATER HOSE 50' ROLL 5/8"" 89017/99000/1TR",AJAX STEEL LIMITED            ,$47.00,2010-06-30,165460,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
11-1450 WORKS HAND CLEANER 89017/99000/1TR,AJAX STEEL LIMITED            ,$184.00,2010-06-30,165460,,12,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
7140 FILTER ENGINE OIL SPINNER 86759/90121/056942/1A,UAP INC                       ,$28.00,2010-04-16,164871,,20,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
94-1314 FRONT SPRINGS 7500LB. 90072/15281/1HD.,DON COX ENTERPRISES LTD O/A   ,"$2,232.00",2010-04-16,164872,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
37114-3410 BUSHING KITS 90072/15281/1HD,DON COX ENTERPRISES LTD O/A   ,$106.00,2010-04-16,164872,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
CPM SSF-232-UNV-EB81-U 4'2L STRIP UNV T879395/PSHOP/1A FIXTURE,EECOL ELECTRIC CORP           ,$38.00,2010-04-16,164873,,16,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
SYL F032/841/ECO (21781) OCTRON FLUOR 79395/PSHOP/1A LAMP,EECOL ELECTRIC CORP           ,$4.00,2010-04-16,164873,,18,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
TIRE REPAIR 84912/P12049/6,WAYNE FISCHER O/A             ,$147.00,2010-04-16,164874,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
PSC¿30 GREASE (60 TUBES) 94090/99001/11 KLONDIKE,PETRO CANADA LUBRICANTS INC   ,$144.00,2010-04-19,164880,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"C1¿12F SHEETS,EXPANDED METAL 85233/P23180/6",AJAX STEEL LIMITED            ,$84.00,2010-04-19,164882,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"1x2 SHEET,EXPANDED METAL 84893/P60800/6",AJAX STEEL LIMITED            ,$62.00,2010-04-19,164882,,13,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"03731 PAINT,INVERTED ORANGE 74570/99000/13 OGILVIE",AJAX STEEL LIMITED            ,$60.00,2010-04-19,164882,,19,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"4"" O.D. SOLID ACETAL PLASTIC TUBING 72629/60800/1MS.",GE POLYMERSHAPES              ,$196.00,2010-09-02,166047,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
230-14010 (F540XHD) TRANSPO REGULATOR. 86892/91159/057466/1A.,DYNAMIC SPECIALTY VEHICLES    ,$162.00,2010-09-02,166048,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
25168719 FUEL PUMP 91178/42054/057561/1A,KLONDIKE MOTORS INC O/A       ,$113.00,2010-09-03,166055,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
15805196 LICENCE PLATE LIGHT ASSY 91220/46158/057562/1A,KLONDIKE MOTORS INC O/A       ,$23.00,2010-09-03,166055,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
20929614 CENTER CAB LIGHT ON ROOF 91029/P20697/1A,KLONDIKE MOTORS INC O/A       ,$133.00,2010-09-03,166055,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
12201993 HEATER KNOB 91257/90053/057606/1A,KLONDIKE MOTORS INC O/A       ,$9.00,2010-09-03,166055,,15,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
E7TZ-1522601-A DRIVER INNER DOOR HANDLE 91096/P18486/1A,WHITEHORSE MOTORS LIMITED     ,$16.00,2010-09-03,166056,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
2F1Z-5420939PTM LH DOOR TRIM STRIP 91203/40213/057514/1A,WHITEHORSE MOTORS LIMITED     ,$71.00,2010-09-03,166056,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
58624 TRANS FILTER 91045/P20544/1A,TERRITORIAL AUTO PARTS        ,$28.00,2010-09-08,166059,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
CORE CHARGE LINE 91292/42065/057795/1A,TERRITORIAL AUTO PARTS        ,$6.00,2010-09-08,166059,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
11136996V FAN CLUTCH 92415-16/P18235/1A,TERRITORIAL AUTO PARTS        ,$111.00,2010-09-08,166059,,12,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
6' PRECISION PIN STOCK 75575/057305/56437/6 DAWSON,AJAX STEEL LIMITED            ,$139.00,2010-09-03,166060,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"1¿1/4""X 3""SHELBY TUBING 75813/P16259/6 DAWSON",AJAX STEEL LIMITED            ,$399.00,2010-09-03,166060,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"28790EA000 12"" WIPER BLADE 91133/47572/057578/1A",CDCARCAREYKL,$8.00,2010-09-08,166061,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"838003 1/4"" LOOM 91025/15303/057336/1A",UAP INC                       ,$7.00,2010-09-03,166064,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"838003 1/4"" LOOM 91223/46210/057571/1A",UAP INC                       ,$7.00,2010-09-03,166064,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
64340 LAMP HOUSING 91141/18504/057633/1A,UAP INC                       ,$30.00,2010-09-03,166064,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"BELT, AC/COMP 46-132-5 46158-9",NORTH 60 PETRO LTD            ,$16.00,2010-05-05,165032,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
"FILTER, ENGINE OIL 40-268 TO 40-292 40-294 TO 40-297",UAP INC                       ,$15.00,2010-05-05,165033,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
COILED TRAILER CABLE-15 FT.,UAP INC                       ,$102.00,2010-05-05,165034,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2010-11
